Player,Dismissal,Runs,Balls,4s,6s,Strikerate
Arshdeep Singh,run out (Babar Azam/†Mohammad Rizwan),9,13,2,1,111.11
Jasprit Bumrah,c Imad Wasim b Haris Rauf,0,1,1,0,87.50
Mohammed Siraj,not out,7,7,0,0,33.33
Rohit Sharma (c),c Haris Rauf b Shaheen Shah Afridi,13,12,1,0,58.33
Virat Kohli,c Usman Khan b Naseem Shah,4,3,0,0,0.00
Rishabh Pant †,c Babar Azam b Mohammad Amir,42,31,1,0,69.23
Axar Patel,b Naseem Shah,20,18,5,2,135.00
Suryakumar Yadav,c Mohammad Amir b Haris Rauf,7,8,0,1,111.11
Shivam Dube,c & b Naseem Shah,3,9,2,1,266.66
Hardik Pandya,c Iftikhar Ahmed b Haris Rauf,7,12,0,0,75.00
Ravindra Jadeja,c Imad Wasim b Mohammad Amir,0,1,0,0,71.42
Arshdeep Singh,run out (Babar Azam/†Mohammad Rizwan),9,13,4,0,105.12
Pratik Athavale †,c McMullen b Greaves,54,40,2,0,130.00
Naseem Khushi,c Watt b Sole,10,9,0,0,0.00
Aqib Ilyas (c),lbw b Sharif,16,6,0,0,150.00
Zeeshan Maqsood,c †Cross b Watt,3,4,5,2,135.00
Khalid Kail,run out (Sole/Watt),5,7,0,1,111.11
Ayaan Khan,not out,41,39,2,1,266.66
Mehran Khan,c †Cross b Sharif,13,10,0,0,75.00
Rafiullah,c Sharif b Wheal,0,3,0,0,71.42
Shakeel Ahmed,not out,3,2,1,2,163.63
Pratik Athavale †,c McMullen b Greaves,54,40,0,0,0.00
Naseem Khushi,c Watt b Sole,10,9,1,0,50.00
Aqib Ilyas (c),lbw b Sharif,16,6,0,0,0.00
Zeeshan Maqsood,c †Cross b Watt,3,4,2,3,104.54
Khalid Kail,run out (Sole/Watt),5,7,1,1,76.31
Quinton de Kock †,b Tanzim Hasan Sakib,18,11,0,0,100.00
Reeza Hendricks,lbw b Tanzim Hasan Sakib,0,1,0,0,50.00
Aiden Markram (c),b Taskin Ahmed,4,8,1,2,163.63
Tristan Stubbs,c Shakib Al Hasan b Tanzim Hasan Sakib,0,5,0,0,0.00
Heinrich Klaasen,b Taskin Ahmed,46,44,1,0,50.00
David Miller,b Rishad Hossain,29,38,0,0,0.00
Marco Jansen,not out,5,5,2,3,104.54
Keshav Maharaj,not out,4,8,1,1,76.31
Quinton de Kock †,b Tanzim Hasan Sakib,18,11,0,0,100.00
Reeza Hendricks,lbw b Tanzim Hasan Sakib,0,1,0,0,50.00
Aiden Markram (c),b Taskin Ahmed,4,8,4,4,118.18
Tristan Stubbs,c Shakib Al Hasan b Tanzim Hasan Sakib,0,5,1,0,57.14
Heinrich Klaasen,b Taskin Ahmed,46,44,0,0,33.33
David Miller,b Rishad Hossain,29,38,0,0,16.66
Marco Jansen,not out,5,5,0,0,22.22
Keshav Maharaj,not out,4,8,0,0,0.00
Total,20 Ov (RR: 5.65),113/6,,1,0,47.61
Aaron Johnson,b Naseem Shah,52,44,0,1,92.85
Navneet Dhaliwal,b Mohammad Amir,4,7,1,0,81.81
Pargat Singh,c Fakhar Zaman b Shaheen Shah Afridi,2,6,4,4,118.18
Nicholas Kirton,run out (Imad Wasim),1,6,1,0,57.14
Shreyas Movva †,c †Mohammad Rizwan b Haris Rauf,2,9,0,0,33.33
Ravinderpal Singh,c Fakhar Zaman b Haris Rauf,0,2,0,0,16.66
Saad Bin Zafar (c),c †Mohammad Rizwan b Mohammad Amir,10,21,0,0,22.22
Kaleem Sana,not out,13,14,4,4,118.18
Dilon Heyliger,not out,9,11,1,0,57.14
Aaron Johnson,b Naseem Shah,52,44,0,0,33.33
Navneet Dhaliwal,b Mohammad Amir,4,7,0,0,16.66
Pargat Singh,c Fakhar Zaman b Shaheen Shah Afridi,2,6,0,0,22.22
Nicholas Kirton,run out (Imad Wasim),1,6,0,0,0.00
Shreyas Movva †,c †Mohammad Rizwan b Haris Rauf,2,9,1,0,47.61
Aaron Johnson,b Naseem Shah,52,44,0,1,92.85
Navneet Dhaliwal,b Mohammad Amir,4,7,1,0,81.81
Pargat Singh,c Fakhar Zaman b Shaheen Shah Afridi,2,6,4,4,118.18
Nicholas Kirton,run out (Imad Wasim),1,6,1,0,57.14
Shreyas Movva †,c †Mohammad Rizwan b Haris Rauf,2,9,0,0,33.33
Ravinderpal Singh,c Fakhar Zaman b Haris Rauf,0,2,0,0,16.66
Saad Bin Zafar (c),c †Mohammad Rizwan b Mohammad Amir,10,21,0,0,22.22
Kaleem Sana,not out,13,14,2,0,100.00
Dilon Heyliger,not out,9,11,0,0,28.57
Aaron Johnson,b Naseem Shah,52,44,0,0,16.66
Navneet Dhaliwal,b Mohammad Amir,4,7,4,1,83.72
Pargat Singh,c Fakhar Zaman b Shaheen Shah Afridi,2,6,0,0,33.33
Nicholas Kirton,run out (Imad Wasim),1,6,0,0,25.00
Shreyas Movva †,c †Mohammad Rizwan b Haris Rauf,2,9,0,0,14.28
Michael van Lingen,c Maxwell b Hazlewood,10,10,0,1,100.00
Nikolaas Davin,c Maxwell b Hazlewood,2,7,0,0,0.00
Jan Frylinck,c Marsh b Cummins,1,6,0,0,66.66
Gerhard Erasmus (c),c Maxwell b Stoinis,36,43,0,0,0.00
JJ Smit,lbw b Ellis,3,9,2,0,100.00
Zane Green †,lbw b Zampa,1,4,0,0,28.57
David Wiese,c Hazlewood b Zampa,1,7,0,0,16.66
Ruben Trumpelmann,c Maxwell b Zampa,7,7,0,0,0.00
Bernard Scholtz,b Zampa,0,2,0,2,80.00
Jack Brassell,not out,2,3,0,0,40.00
Ben Shikongo,c David b Stoinis,0,4,0,1,50.00
Michael van Lingen,c Maxwell b Hazlewood,10,10,2,1,117.39
Nikolaas Davin,c Maxwell b Hazlewood,2,7,1,1,125.00
Jan Frylinck,c Marsh b Cummins,1,6,0,1,100.00
Shayan Jahangir,lbw b Arshdeep Singh,0,1,1,0,110.00
Steven Taylor,b Patel,24,30,0,0,28.57
Andries Gous †,c Pandya b Arshdeep Singh,2,5,0,0,0.00
Aaron Jones (c),c Mohammed Siraj b Pandya,11,22,0,2,80.00
Nitish Kumar,c Mohammed Siraj b Arshdeep Singh,27,23,0,0,40.00
Corey Anderson,c †Pant b Pandya,15,12,0,1,50.00
Harmeet Singh,c †Pant b Arshdeep Singh,10,10,2,1,117.39
Shadley van Schalkwyk,not out,11,10,0,1,75.00
Jasdeep Singh,run out (†Pant/Mohammed Siraj),2,7,0,0,0.00
Shayan Jahangir,lbw b Arshdeep Singh,0,1,3,0,141.66
Steven Taylor,b Patel,24,30,0,0,0.00
Andries Gous †,c Pandya b Arshdeep Singh,2,5,0,0,20.00
Aaron Jones (c),c Mohammed Siraj b Pandya,11,22,2,6,174.35
Nitish Kumar,c Mohammed Siraj b Arshdeep Singh,27,23,0,1,88.23
Brandon King,c †Conway b Neesham,9,12,2,1,200.00
Johnson Charles,b Boult,0,5,0,1,100.00
Nicholas Pooran †,c †Conway b Southee,17,12,1,0,100.00
Roston Chase,c Ravindra b Ferguson,0,3,0,0,0.00
Rovman Powell (c),c †Conway b Southee,1,5,0,1,75.00
Sherfane Rutherford,not out,68,39,0,0,0.00
Akeal Hosein,c Neesham b Santner,15,17,3,0,141.66
Andre Russell,c Ferguson b Boult,14,7,0,0,0.00
Romario Shepherd,lbw b Ferguson,13,13,0,0,20.00
Alzarri Joseph,b Boult,6,6,2,6,174.35
Gudakesh Motie,not out,0,1,0,1,88.23
Brandon King,c †Conway b Neesham,9,12,2,1,200.00
Johnson Charles,b Boult,0,5,0,1,100.00
Nicholas Pooran †,c †Conway b Southee,17,12,1,0,100.00
Roston Chase,c Ravindra b Ferguson,0,3,0,0,0.00
Rovman Powell (c),c †Conway b Southee,1,5,5,1,134.61
Sherfane Rutherford,not out,68,39,0,0,33.33
Akeal Hosein,c Neesham b Santner,15,17,0,0,50.00
Andre Russell,c Ferguson b Boult,14,7,9,0,139.13
Romario Shepherd,lbw b Ferguson,13,13,0,0,60.00
Alzarri Joseph,b Boult,6,6,2,2,119.04
Gudakesh Motie,not out,0,1,3,0,200.00
